Place,Developer,Summary,Price,Sqft
3 BHK Apartment for Sale in Defence Colony Ekkatuthangal Chennai,N/a,3BHK Luxurious apartment in Defence colony, 52 Lac," 6,047 per sqft"
3 BHK Apartment for Sale in Egmore Chennai,N/a,"The property is located in a posh area, It easy to access all Chennai schools, colleges, and hospitals.sRead more", 3.50 Cr," 12,500 per sqft"
2 BHK Apartment for Sale in Siruseri Chennai,N/a,"SUSTAINABLE DESIGN CONCEPTAt Eden Park, weve gone the extra mile to ensure sustainable living. Grass Swales, Rain Water Harvesting, Eco Pond with an integrated landscape irrigation network, Sewage Treatment Plant, Solid Waste Management, Solar Water Heating are some of the special efforts to conserve natural energy.Read more", 72.9 Lac," 6,000 per sqft"
4 BHK  House for Sale in Akkarai Chennai,N/a,"akkarai,kart attack 3.7 ground land area, beautiful well maintained bungalow  5500 sft with garden cmda approved 100 percent vasthu price 4.75crRead more", 30 Lac," 3,333 per sqft"
2 BHK  House for Sale in Nanmangalam Manikandan Nagar Chennai,N/a,"Independent house for sale in Nanmangalam, 2400 Sqft, North facing, Good ground water facility, 2BHK, Covered car parking, CMDA Approved, Located in good location..Read more", 1.97 Cr," 12,101 per sqft"
2 BHK Apartment for Sale in Paraniputhur Chennai,N/a,"Harmony at TVS Emerald Premium lowrise residences in Porur.Living in a harmonious balance, with nature and oneself. Isnt that the dreamA space where the professional and personal can coexist A space where your wellbeing is a top priorityHarmony at TVS Emerald Green Enclave invites you to live anew, in a space that encourages you to engage with nature. These lowrise residences are designed for those who are seeking something different. Those who care about being present every minute.Harmony at TVS Emerald Green Enclave has been designed to offer you all the perks of a gated commRead more", 4.80 Cr," 24,304 per sqft"
3 BHK Apartment for Sale in East Abhiramapuram Chennai,N/a,"Spacious, well maintained house in a good locality", 62.5 Lac," 5,682 per sqft"
2 BHK Builder Floor for Sale in Kanathur Chennai,N/a,"2 BHK flat in ECR, Kanathur, beach side, near to main road, surrounded by Shops, School, College and Hospitals.Read more", 4.75 Cr," 9,500 per sqft"
1 BHK Apartment for Sale in Kattupakkam Chennai,SKR Sun Bright Garden,"1 BHK, Multistorey Apartment is available for Sale in Kattupakkam, Chennai for 85.0 Lac(s)Read more", 1.25 Cr," 5,208 per sqft"
2 BHK Apartment for Sale in Iyyappanthangal Chennai,N/a,"Bridging the gap between convenience and luxury with this perfect 2BHK apartment, a lifestyle tailor-made to fit your highest standards. This property is available for sale in Iyyappanthangal, Chennai.Property SpecificationsThe quality construction, appealing interiors and splendid location make this apartment an apt dwelling for todays family. This property is benefited with the complete rights of freehold ownership where the buyer is not subject to any extra charges. All rooms are blessed with immense natural light and the smooth flow of soft breeze across every nook of the house is simply amazing. With a super area of 978sqft, the property is located on the 2nd-floor and includes 2 bedrooms, 2 bathrooms, 1 balcony, 1 living cum dining area and 1 kitchen with utility area. The flooring is excellently done using long-lasting vitrified tiles to give a pristine look and long-term durability. The property is built as per vaastu norms and faces the west direction.Both the attached bathrooms have western toilets and provision for geysers. One of the bedroom has a balcony that looks out onto the street. Due to the presence of an exhaust fan provision, sink, and cooking platform, cooking is made incredibly simple and convenient. FacilitiesIn terms of facilities, there is 1 covered parking, power backup, water supply, security guards, CCTV cameras and 1 lift.LocalityThe locality has gained popularity because of the developed surroundings and sound road connectivity. Various modes of public transport like autos, taxis and local buses are nearby. One can find banks, ATMs, malls, supermarkets, malls, schools, hospitals, etc within the vicinity of 1km. The property is 2km from the upcoming metro station and 4-5km away from Porur Railway Station.Read more", 57.5 Lac," 10,686 per sqft"
